,Accuracy,AUC,F1 Measure,Mean CV on Train
alcoholic_1_ada_sig1_standard_scale_time_aug,0.5375,0.5229687500000001,0.4861111111111111,0.421875
alcoholic_1_ada_sig1_time_aug,0.50625,0.5046093749999999,0.4060150375939849,0.428125
alcoholic_1_ada_sig1_ts_scale,0.3625,0.37875,0.3544303797468355,0.40078125
alcoholic_1_ada_sig1_ts_scale_standard_scale,0.41875,0.439140625,0.4363636363636363,0.41328125
alcoholic_1_ada_sig1_ts_scale_standard_scale_time_aug,0.41875,0.439140625,0.4363636363636363,0.396875
alcoholic_1_ada_sig1_ts_scale_time_aug,0.3625,0.37875,0.3544303797468355,0.37421875
alcoholic_1_ada_sig2,0.86875,0.93078125,0.8645161290322579,0.7390625
alcoholic_1_ada_sig2_standard_scale,0.8625,0.92375,0.8552631578947368,0.7390625
alcoholic_1_ada_sig2_standard_scale_time_aug,0.8625,0.91890625,0.8552631578947368,0.73359375
alcoholic_1_ada_sig2_time_aug,0.875,0.93015625,0.8701298701298702,0.73359375
alcoholic_1_ada_sig2_ts_scale,0.8625,0.9321875,0.8641975308641976,0.75
alcoholic_1_ada_sig2_ts_scale_standard_scale,0.85,0.93328125,0.85,0.71015625
alcoholic_1_ada_sig2_ts_scale_standard_scale_time_aug,0.8125,0.916875,0.8076923076923076,0.75859375
alcoholic_1_ada_sig2_ts_scale_time_aug,0.83125,0.91875,0.8301886792452831,0.75859375
alcoholic_1_ada_ts_scale_standard_scale,0.85,0.93328125,0.85,0.71015625
alcoholic_1_ada_ts_scale_standard_scale_time_aug,0.8125,0.916875,0.8076923076923076,0.75859375
alcoholic_1_knn_sig1,0.58125,0.60328125,0.6081871345029239,0.47734375
alcoholic_1_knn_sig1_standard_scale,0.56875,0.6121093749999998,0.6497461928934011,0.45859375
alcoholic_1_knn_sig1_standard_scale_time_aug,0.56875,0.6121093749999998,0.6497461928934011,0.45859375
alcoholic_1_knn_sig1_time_aug,0.58125,0.60328125,0.6081871345029239,0.47734375
alcoholic_1_knn_sig1_ts_scale,0.5125,0.521953125,0.5243902439024389,0.4484375
alcoholic_1_knn_sig1_ts_scale_standard_scale,0.5375,0.553515625,0.5131578947368421,0.468359375
alcoholic_1_knn_sig1_ts_scale_standard_scale_time_aug,0.5375,0.553515625,0.5131578947368421,0.468359375
alcoholic_1_knn_sig1_ts_scale_time_aug,0.5125,0.521953125,0.5243902439024389,0.4484375
alcoholic_1_knn_sig2,0.7625,0.8084375,0.7397260273972603,0.683203125
alcoholic_1_knn_sig2_standard_scale,0.725,0.8040625,0.7317073170731706,0.642578125
alcoholic_1_knn_sig2_standard_scale_time_aug,0.70625,0.8143750000000001,0.7251461988304093,0.626171875
alcoholic_1_knn_sig2_time_aug,0.7625,0.8084375,0.7397260273972603,0.683203125
alcoholic_1_knn_sig2_ts_scale,0.68125,0.834453125,0.6165413533834586,0.709765625
alcoholic_1_knn_sig2_ts_scale_standard_scale,0.7,0.8096875,0.6417910447761194,0.680078125
alcoholic_1_knn_sig2_ts_scale_standard_scale_time_aug,0.69375,0.8124218750000001,0.631578947368421,0.633984375
alcoholic_1_knn_sig2_ts_scale_time_aug,0.69375,0.824296875,0.6370370370370371,0.679296875
alcoholic_1_knn_ts_scale_standard_scale,0.7,0.8096875,0.6417910447761194,0.680078125
alcoholic_1_knn_ts_scale_standard_scale_time_aug,0.69375,0.8124218750000001,0.631578947368421,0.633984375
alcoholic_1_lr_sig1,0.56875,0.5778125000000001,0.5490196078431373,0.5421875
alcoholic_1_lr_sig1_standard_scale,0.53125,0.53296875,0.5398773006134969,0.47734375
alcoholic_1_lr_sig1_standard_scale_time_aug,0.53125,0.53296875,0.5398773006134969,0.47734375
alcoholic_1_lr_sig1_time_aug,0.56875,0.5778125000000001,0.5490196078431373,0.5375
alcoholic_1_lr_sig1_ts_scale,0.56875,0.5548437500000001,0.543046357615894,0.38671875
alcoholic_1_lr_sig1_ts_scale_standard_scale,0.54375,0.54890625,0.529032258064516,0.41015625
alcoholic_1_lr_sig1_ts_scale_standard_scale_time_aug,0.54375,0.54890625,0.529032258064516,0.41015625
alcoholic_1_lr_sig1_ts_scale_time_aug,0.56875,0.555,0.543046357615894,0.3875
alcoholic_1_lr_sig2,0.8,0.8870312499999999,0.7714285714285714,0.7015625
alcoholic_1_lr_sig2_standard_scale,0.88125,0.93421875,0.8819875776397514,0.6890625
alcoholic_1_lr_sig2_standard_scale_time_aug,0.8875,0.931875,0.888888888888889,0.66796875
alcoholic_1_lr_sig2_time_aug,0.8,0.8870312499999999,0.7714285714285714,0.70390625
alcoholic_1_lr_sig2_ts_scale,0.86875,0.9471875,0.8609271523178808,0.72421875
alcoholic_1_lr_sig2_ts_scale_standard_scale,0.88125,0.939375,0.8774193548387097,0.6890625
alcoholic_1_lr_sig2_ts_scale_standard_scale_time_aug,0.85625,0.935,0.8476821192052981,0.6921875
alcoholic_1_lr_sig2_ts_scale_time_aug,0.85625,0.93984375,0.8456375838926175,0.71875
alcoholic_1_lr_ts_scale_standard_scale,0.88125,0.939375,0.8774193548387097,0.6890625
alcoholic_1_lr_ts_scale_standard_scale_time_aug,0.85625,0.935,0.8476821192052981,0.6921875
alcoholic_1_rf_sig1,0.6125,0.65234375,0.6125,0.4078125
alcoholic_1_rf_sig1_standard_scale,0.575,0.6318750000000001,0.5853658536585366,0.4765625
alcoholic_1_rf_sig1_standard_scale_time_aug,0.525,0.5590624999999999,0.5730337078651685,0.40234375
alcoholic_1_rf_sig1_time_aug,0.53125,0.5535937500000001,0.5810055865921787,0.39453125
alcoholic_1_rf_sig1_ts_scale,0.56875,0.60734375,0.5714285714285714,0.328125
alcoholic_1_rf_sig1_ts_scale_standard_scale,0.59375,0.6078124999999999,0.563758389261745,0.3640625
alcoholic_1_rf_sig1_ts_scale_standard_scale_time_aug,0.5125,0.519453125,0.5185185185185186,0.342578125
alcoholic_1_rf_sig1_ts_scale_time_aug,0.50625,0.5082812499999999,0.5093167701863354,0.33671875
alcoholic_1_rf_sig2,0.75,0.8253124999999999,0.7142857142857143,0.73671875
alcoholic_1_rf_sig2_standard_scale,0.75625,0.8256249999999999,0.7272727272727272,0.73671875
