,alcoholic_1,alcoholic_1,alcoholic_1,alcoholic_1,alcoholic_12,alcoholic_12,alcoholic_12,alcoholic_12,alcoholic_21,alcoholic_21,alcoholic_21,alcoholic_21,EyesOpenShut,EyesOpenShut,EyesOpenShut,EyesOpenShut,FingerMovements,FingerMovements,FingerMovements,FingerMovements
,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train,Accuracy,AUC,F1 Measure,Mean CV on Train
knn_sig1_ts_scale,0.5125,0.521953125,0.5243902439024389,0.4484375,0.55625,0.59125,0.5644171779141104,0.5183492063492064,0.575,0.594765625,0.6179775280898877,0.421171875,0.5238095238095238,0.5396825396825397,0.3333333333333332,0.5766666666666668,0.42,0.4525810324129651,0.275,0.4347278225806452
knn_sig1_ts_scale_standard_scale,0.5375,0.553515625,0.5131578947368421,0.468359375,0.55625,0.5715625,0.5644171779141104,0.4958095238095238,0.51875,0.56515625,0.5389221556886229,0.4621875,0.5,0.4977324263038549,0.2222222222222222,0.4133333333333334,0.48,0.465186074429772,0.380952380952381,0.4919984879032258
knn_sig1_ts_scale_standard_scale_time_aug,0.5375,0.553515625,0.5131578947368421,0.468359375,0.55625,0.5715625,0.5644171779141104,0.4958095238095238,0.51875,0.56515625,0.5389221556886229,0.4621875,0.5,0.4977324263038549,0.2222222222222222,0.4133333333333334,0.48,0.465186074429772,0.380952380952381,0.4919984879032258
knn_sig1_ts_scale_time_aug,0.5125,0.521953125,0.5243902439024389,0.4484375,0.55625,0.59125,0.5644171779141104,0.5183492063492064,0.575,0.594765625,0.6179775280898877,0.421171875,0.5238095238095238,0.5396825396825397,0.3333333333333332,0.5766666666666668,0.42,0.4525810324129651,0.275,0.4347278225806452
knn_sig2,0.7625,0.8084375,0.7397260273972603,0.683203125,0.7625,0.85375,0.7397260273972603,0.6693333333333334,0.825,0.915078125,0.8333333333333334,0.7471875,0.5238095238095238,0.5056689342403629,0.0909090909090909,0.4585714285714286,0.55,0.536014405762305,0.5945945945945946,0.5044449344758064
knn_sig2_standard_scale,0.725,0.8040625,0.7317073170731706,0.642578125,0.75,0.8336718750000001,0.7674418604651162,0.654952380952381,0.76875,0.8641406249999999,0.7955801104972375,0.7020833333333333,0.5,0.427437641723356,0.0869565217391304,0.4826190476190476,0.48,0.5074029611844738,0.5593220338983051,0.4839245211693548
knn_sig2_standard_scale_time_aug,0.70625,0.8143750000000001,0.7251461988304093,0.626171875,0.7625,0.839140625,0.7790697674418605,0.6340634920634922,0.75,0.862109375,0.7777777777777777,0.7041145833333333,0.4761904761904761,0.3786848072562359,0.0,0.4188095238095238,0.56,0.5264105642256902,0.6333333333333334,0.4877488659274194
knn_sig2_time_aug,0.7625,0.8084375,0.7397260273972603,0.683203125,0.7625,0.85375,0.7397260273972603,0.6693333333333334,0.825,0.91515625,0.8333333333333334,0.7471875,0.5238095238095238,0.5056689342403629,0.0909090909090909,0.4585714285714286,0.55,0.536014405762305,0.5945945945945946,0.5044449344758064
knn_sig2_ts_scale,0.68125,0.834453125,0.6165413533834586,0.709765625,0.725,0.837578125,0.6615384615384615,0.666984126984127,0.74375,0.854921875,0.7050359712230215,0.6951822916666667,0.4761904761904761,0.5839002267573696,0.0833333333333333,0.4454761904761904,0.45,0.4743897559023609,0.3956043956043956,0.5241683467741935
knn_sig2_ts_scale_standard_scale,0.7,0.8096875,0.6417910447761194,0.680078125,0.70625,0.817578125,0.6356589147286822,0.6564444444444445,0.73125,0.818671875,0.6906474820143884,0.6553125,0.5,0.5249433106575964,0.2222222222222222,0.3928571428571429,0.46,0.4239695878351341,0.3076923076923076,0.5449596774193548
